,Company ID,Industry
896,yottio,"technology, information and internet"
897,tint,"technology, information and internet"
898,1185255,it services and it consulting
899,22288,broadcast media production and distribution
900,3599994,"technology, information and internet"
901,81778,staffing and recruiting
902,332373,software development
903,11015,manufacturing
904,498327,education administration programs
905,1031837,maritime transportation
906,662092,it services and it consulting
907,33155,oil and gas
908,26084,hospitals and health care
909,39796,law practice
910,764918,it services and it consulting
911,221506,higher education
912,elevate,advertising services
913,manpowergroup,staffing and recruiting
914,33593,it services and it consulting
915,iem,business consulting and services
916,5589,it services and it consulting
917,73297,software development
918,23654,events services
919,1912357,environmental services
920,3823055,it services and it consulting
921,3133270,real estate
922,429767,it services and it consulting
923,17239,broadcast media production and distribution
924,960423,business consulting and services
925,1446324,financial services
926,224968,it services and it consulting
927,1705878,financial services
928,2664890,truck transportation
929,1881652,"transportation, logistics, supply chain and storage"
930,19683,"museums, historical sites, and zoos"
931,164431,semiconductor manufacturing
932,1544650,telecommunications
933,51027,non-profit organizations
934,3533209,computers and electronics manufacturing
935,14196,computer and network security
936,1908112,it services and it consulting
937,464988,e-learning providers
938,522720,software development
939,55886120,wholesale
940,216749,business consulting and services
941,2682195,industrial machinery manufacturing
942,1076050,broadcast media production and distribution
943,84427,e-learning providers
944,1594648,"technology, information and internet"
945,tillster,software development
946,12055,libraries
947,11630,insurance
948,3168399,"technology, information and internet"
949,43991,truck transportation
950,22606,"technology, information and internet"
951,3314702,software development
952,404616,human resources services
953,42184,staffing and recruiting
954,480267,staffing and recruiting
955,393988,staffing and recruiting
956,69518,it services and it consulting
957,2515860,software development
958,8433,chemical manufacturing
959,25544,retail
960,47397,telecommunications
961,2551774,advertising services
962,762979,retail apparel and fashion
963,2931044,truck transportation
964,12528,staffing and recruiting
965,3256672,graphic design
966,226009,it services and it consulting
967,1089654,software development
968,23619,travel arrangements
969,357403,staffing and recruiting
970,879293,advertising services
971,24278,pharmaceutical manufacturing
972,2683816,software development
973,148029,"appliances, electrical, and electronics manufacturing"
974,429504,business consulting and services
975,9242,computer and network security
976,28104,pharmaceutical manufacturing
977,1225655,telecommunications
978,135398,business consulting and services
979,1000893,software development
980,48772,market research
981,510170,pharmaceutical manufacturing
982,320536,pharmaceutical manufacturing
983,311986,oil and gas
984,winigent,it services and it consulting
985,16413,advertising services
986,43296,machinery manufacturing
987,142052,business consulting and services
988,1341458,software development
989,587142,legal services
990,39782,higher education
991,117239,market research
992,116335,online audio and video media
993,668509,non-profit organizations
994,123648,retail luxury goods and jewelry
995,13542,packaging and containers manufacturing
996,3043691,computer and network security
997,46174,public safety
998,3282715,staffing and recruiting
999,428628,financial services
1000,138759,insurance
1001,124553,food and beverage manufacturing
1002,14160,software development
1003,3186941,software development
1004,2884683,government administration
1005,228048,insurance
1006,38712,government administration
1007,2906180,design services
1008,618818,software development
1009,3005654,business consulting and services
1010,712235,advertising services
1011,1912305,it services and it consulting
1012,3269567,software development
1013,244914,software development
1014,2490804,software development
1015,964163,software development
1016,3598808,financial services
1017,1430273,advertising services
1018,655192,education administration programs
1019,993415,education administration programs
1020,3524488,biotechnology research
1021,1153352,financial services
1022,1075936,financial services
1023,71357,security and investigations
1024,2461087,it services and it consulting
1025,89998,advertising services
1026,81106,software development
1027,305546,architecture and planning
1028,66282,software development
1029,803832,software development
1030,27871,software development
1031,3231750,advertising services
1032,156159,packaging and containers manufacturing
1033,2279412,wholesale building materials
1034,573709,software development
1035,2529524,defense and space manufacturing
1036,2027975,advertising services
1037,2415308,advertising services
1038,3572298,it services and it consulting
1039,146007,software development
1040,72226,software development
1041,152002,truck transportation
1042,284580,advertising services
1043,1070471,software development
1044,134217,it services and it consulting
1045,2699807,government administration
1046,109559,civil engineering
1047,783839,it services and it consulting
1048,43432,it services and it consulting
1049,99308,it services and it consulting
1050,27867,financial services
1051,2925122,advertising services
1052,853793,defense and space manufacturing
1053,50547,manufacturing
1054,829495,it services and it consulting
1055,3803652,real estate
1056,3139589,staffing and recruiting
1057,613380,hospitals and health care
1058,acci,printing services
1059,1057848,software development
1060,54590,truck transportation
1061,484057,it services and it consulting
1062,505208,events services
1063,442523,business consulting and services
1064,3290345,it services and it consulting
1065,713317,it services and it consulting
1066,137841,computer and network security
1067,63586,it services and it consulting
1068,1045667,it services and it consulting
1069,2344224,entertainment providers
1070,166344,software development
1071,64126,retail
1072,1827492,computer games
1073,2428523,education administration programs
1074,3072967,advertising services
1075,1565185,it services and it consulting
1076,1757146,it services and it consulting
1077,1134827,computer hardware manufacturing
1078,3237506,medical equipment manufacturing
1079,165620,chemical manufacturing
1080,75920,research services
1081,377200,software development
1082,761672,wellness and fitness services
1083,476854,it services and it consulting
1084,5077846,it services and it consulting
1085,46066,software development
1086,3494109,staffing and recruiting
1087,22886,manufacturing
1088,5029916,retail
1089,3236583,"technology, information and internet"
1090,124023,design services
1091,3209692,education administration programs
1092,pazien,financial services
1093,1120141,defense and space manufacturing
1094,80268,software development
1095,32817,market research
1096,21188,newspaper publishing
1097,87852,software development
1098,3242750,insurance
1099,3253497,computer and network security
1100,12625,software development
1101,6154,hospitals and health care
1102,988307,law practice
1103,233426,it services and it consulting
1104,1598810,software development
1105,8116,it services and it consulting
1106,2187,government administration
1107,5734,law practice
1108,322818,advertising services
1109,140198,software development
1110,3020369,it services and it consulting
1111,45260,chemical manufacturing
1112,338605,it services and it consulting
1113,5291980,it services and it consulting
1114,2316304,software development
1115,593716,advertising services
1116,830121,advertising services
1117,60694,non-profit organizations
1118,2970190,retail apparel and fashion
1119,318557,software development
1120,134790,financial services
1121,121322,research services
1122,1111031,oil and gas
1123,34912,advertising services
1124,82473,software development
1125,1228373,travel arrangements
1126,19541,higher education
1127,2835548,machinery manufacturing
1128,874714,"technology, information and internet"
1129,989224,automation machinery manufacturing
